Competency domain,Focus Areas,Resource title,URL,Platform / host,Resource type,Stated learning outcomes,Stated prerequisites,Length (mins),Indicated level,Intended audience,Format type (passive / interactive),Publication date,Last updated,Captions / transcripts,Mobile accessible,Skill area,Student journey stage,Comments,Faculty comments,Faculty initials
Foundational technical knowledge and digital literacy,Software Development,Software Engineering,,CMU Computer Science Academy,Online course,,,,,,,,,,,,,,,
,,Examination of Software Architecture: Principles and Practices,https://www.sei.cmu.edu/training/software-architecture-principles-practices-elearning/,Software Engineering Institute (SEI),Online course,"Learners will understand how architectural decisions enable flexibility, interoperability, scalability, and cost efficiency while supporting organizational strategy and market positioning. By the end of the course, participants will be able to leverage software architecture to improve system maintainability, team coordination, and long-term business value.","Experience in the development of software-reliant systems
and familiarity with modern software engineering concepts",16 hours,Intermediate,"professionals who design, develop, or manage the construction of software-reliant systems.",Interactive,,,,Yes,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Ongoing study,This course has price tag of $500  which could be a bit expensive for a student.,,
,,"Understanding Software Architecture, Quality, and Security Through Code Analysis",https://www.sei.cmu.edu/training/software-architecture-design-analysis/,Software Engineering Institute (SEI),Online (Live sessions) course,"This course provides in-depth coverage of the principles and methods required to design and analyze effective software architectures. Learners will understand key architectural design considerations, quality attribute elicitation using the Quality Attribute Workshop (QAW), and architecture design through the Attribute-Driven Design (ADD) method. By the end of the course, participants will be able to evaluate architectures and integrate these methods within the software development life cycle.",Completing the Software Architecture: Principles and Practices course,5 hours a day for 3 days ,,"Practicing software architects

Designers and developers of software-reliant systems",Interactive,,,,Yes,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Transition to industry,"Scheduled to start on May 11-14 this year from 12-5pm EST

Costs $1200",,
,,Documenting Software Architectures,https://www.sei.cmu.edu/training/documenting-software-architectures-elearning/,Software Engineering Institute (SEI),Online course,"This course equips software architects with the skills to create clear, comprehensive, and stakeholder-focused software architecture documentation. Learners will understand how to apply view-based documentation approaches, select appropriate architectural views, and capture the essential information needed to communicate structure, behavior, and interfaces. By the end of the course, participants will be able to use formal and informal notations, including UML, to produce architecture documentation that is useful, consistent, and actionable across stakeholder groups.","Experience in designing and developing software-intensive systems. 

Understanding  the basic concepts of software architecture.

Completing the Software Architecture: Principles and Practices course.",12 hours ,Intermediate,"software architects and software lead designers 

Software engineers who may be expected to use architecture documentation",Interactive,,,,No,"Demonstrate the ability to apply programming skills and software engineering knowledge, including data structures and algorithms, to practical problems.",Transition to industry,An essential course on technical documentation but might be too expensive for a student. ,,
,,,,,,,,,,,,,,,,,,,,
,Programming Fundamentals,Basic Programming Constructs,,CMU Computer Science Academy,Online course,,,,,,,,,,,,,,,
,,Lists,,CMU Computer Science Academy,Online course,,,,,,,,,,,,,,,
,,Loops And Strings,,CMU Computer Science Academy,Online course,,,,,,,,,,,,,,,
,,Object Oriented Programming (OOP),,CMU Computer Science Academy,Online course,,,,,,,,,,,,,,,
,,Recursion,,CMU Computer Science Academy,Online course,,,,,,,,,,,,,,,
